Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"One  Onyx  Jewellery
box"		Mohsin  Hassan  Butt		03/01/2022	16000	0	Yes	Yes
"a. One towel
b. One Gown"		Mohyuding Chisti		07/12/2021	28000	0	Yes	Yes
"One  book  and  one
small silver box"		Mr  Hassan  Afzal Khan	Gen Mush	12/03/2006	1500	0	Yes	Yes
"One  Table  stand  (duly
framed  with  Quranic
Verses)"		Mr  Saleem  H. Mandviwalla	Gen Mush	12/03/2006	7000	0	Yes	Yes
One dagger		Mr  Saleem  Khan	Gen Mush	12/03/2006	10000	0	Yes	Yes
"a. One  Book  “Jane
Taylor”  (Jordan
Images  from  the
Air)
b. One Gold coin"		Mr Shafqat Mehmood	Gen Mush	12/03/2006	18185	1228	Yes	Yes
"One  wrist  watch  Navy
Diving Watch (Made in
China)"	Watch	Mr.  A.Q.  Mughal	Military	13/03/2006	2000	0	Yes	Yes
One pen	Pen	Mr.  A.S.  Babar		14/03/2006	650	0	Yes	Yes
One Clay Bowl		Mr.  Aamer  Ahmed Atozai		14/03/2006	1200	0	Yes	Yes
"a. One  blanket  (print
of  Turkish  and
Pakistan Flag)
b. One Steel Bowl"		Mr.  Aamir  Ilyas Rana		14/03/2006	5500	0	Yes	Yes
"One  Tea  set  (with
Golden Carving)"	Crockery	Mr.  Aamir  Ilyas Rana		14/03/2006	1800	0	Yes	Yes
"One  carpet  (red  with
blue flowers)"	Carpet	Mr.  Aamir  Ilyas Rana		30/06/2006	20000	1500	Yes	Yes
"One  ceramic  plate
with Quranic verses"		Mr.  Aamir  Ilyas Rana	Gen Mush	01/07/2006	5000	0	Yes	Yes
"One  ceramic
decoration  piece
(Ceramic  Hand
Painted  Carved
Ostrich  Egg  with
Stand)"	Decoration Pieces	Mr.  Abbas  Khan  Afridi		15/03/2006	600	0	Yes	Yes
"a. A  mobile  set  ZTE-
e3  (with  its
accessories)
b. One Glass Jar"		Mr.  Abdul  Ghaffar	Bureaucracy	18/03/2006	6500	0	Yes	Yes
"One  Wrist  watch  Tag
Heuer"	Watch	Mr.  Abdul  Ghaffar	Media	21/03/2006	70000	9000	Yes	Yes
"One  Pair  of  cufflinks
(in Silver)"		Mr.  Abdul  Ghaffar		22/03/2006	0	0	Yes	Yes
"One  Gold  Ring
(Gold+Diamonds)"		Mr.  Abdul  Ghafoor  A. Memon		24/03/2006	9868	0	Yes	Yes
One Table clock		Mr.  Abdul  Ghani	Gen Mush	29/03/2006	6000	0	Yes	Yes
One Soccer ball		Mr.  Abdul  Hameed	Gen Mush	29/03/2006	0	0	Yes	Yes
One silver bowl		Mr.  Abdul  Jabbar	Gen Mush	29/03/2006	2000	0	Yes	Yes
One Shirt (Gents)		Mr.  Abdul  Rasheed	Gen Mush	29/03/2006	1000	0	Yes	Yes
"One  Wrist  watch  Tag
Heuer"	Watch	Mr.  Abdul  Rauf	Media	29/03/2006	70000	9000	Yes	Yes
Pair of Flower vase	Decoration Pieces	Mr.  Abdul  Rauf	Gen Mush	29/03/2006	2500	0	Yes	Yes
"One  monogram  of
Saudi Arabia in Gold"		"Mr.  Abdul  Razak
Dawood"	Gen Mush	04/04/2006	25200	0	Auctioned	"Auctioned for
Rs.62,000/-"
"One Pair of Peacock
(Replica  made  of
Brass)"		"Mr.  Abdul  Razak
Dawood"	Gen Mush	04/04/2006	9000	0	Yes	Yes
"One  tree  with  99
names of Allah"		"Mr.  Abdul  Razak
Dawood"	Gen Mush	04/04/2006	8000	0	Yes	Yes
"a. One  wrist  watch
Rolex  (small  red
box)
b. One  wrist watch
Rolex (Blue box)
c. One  Jewelry  box
containing
necklace)"	Watch	"Mr.  Abdul  Razak
Dawood"	Military	06/04/2006	754800	246720	Yes	Yes
"One  Sword  (Golden
color)"		"Mr.  Abdul  Razak
Dawood"		10/04/2006	3500	0	Auctioned	"Auctioned for
Rs.6,100/-"
"a. A steel Plate
b. A tea set (two cups
and one tea Pot)"	Crockery	"Mr.  Abdul  Razak
Dawood"		10/04/2006	1850	0	Yes	Yes
A paper weight		"Mr.  Abdul  Razak
Dawood"		10/04/2006	500	0	Yes	Yes
"a. One T-Shirt
b. One Shield
c. Two School Badges
d. Photographs  of
Essex  (duly
framed)"		"Mr.  Abdul  Razak
Dawood"	Gen Mush	13/04/2006	400	0	Yes	Yes
One Decoration piece	Decoration Pieces	Mr.  Abdul  Sattar	Gen Mush	13/04/2006	4500	0	Yes	Yes
"One  Model  of  ship  La
Santa  Maria  Maria-
1492"		Mr.  Abdul  Sattar	Gen Mush	13/04/2006	0	0	Yes	Yes
One Book		Mr.  Abdul  Sattar	Gen Mush	13/04/2006	0	0	Yes	Yes
"a. One  model  of
Elephant (silver)
b. One Tray
c. One Dinner Set
d. One  book
“Twentieth Century
Impression  of
Ceylon”"		Mr.  Abdul  Sattar	Gen Mush	21/04/2006	53000	2475	Yes	Yes
One Decoration piece	Decoration Pieces	Mr.  Abdul  Sattar	Gen Mush	21/04/2006	23000	1950	Yes	Yes
"a. One  Jewelry  set
(silver)  containing
(one  Necklace,  one
Finger  Ring,  one
Pair  of  Earrings  &
one Bracelet)
b. One dagger (silver)"		Mr.  Abdul  Sattar	Gen Mush	21/04/2006	30000	750	Yes	Yes
"One  Pair  of  Cufflinks
(Gold)"		Mr.  Abdul  Sattar	Gen Mush	21/04/2006	10170	26	Yes	Yes
One Ceramic bowl		Mr.  Abdul  Sattar	Gen Mush	21/04/2006	1800	0	Yes	Yes
One Hand Bag (Black)	Bags	Mr.  Abdul  Sattar	Gen Mush	21/04/2006	300	0	Yes	Yes
"One  Car  Toyota  Lexus
470  (Color  White)
(Model 2006)"		Mr.  Abdul  Sattar	Military	22/04/2006	0	0	"Gifts declared but not
deposited"	"Gifts declared but not
deposited"
"One  Car  Toyota  Lexus
470  (Color  White)
(Model 2006)"		Mr.  Abdul  Sattar	Gen Mush	22/04/2006	0	0	"Gifts declared but not
deposited"	"Gifts declared but not
deposited"
"One  Car  Toyota  VXR
(Color  White)  (Model
2006)"		Mr.  Abdul  Sattar		22/04/2006	0	0	"Gifts declared but not
deposited"	"Gifts declared but not
deposited"
"One  Pendulum  Alarm
Clock (grey color)"	Clock	Mr.  Abdul  Sattar		26/04/2006	300	0	Auctioned	"Auctioned for
Rs.353/-"
One bowl		Mr.  Abdul  Sattar	Gen Mush	03/05/2006	2500	0	Yes	Yes
"One  Tray  with  two
cups (Marble)"		Mr.  Abdul  Sattar	Gen Mush	03/05/2006	2000	0	Yes	Yes
"The  Art  of  War  with
Wooden Stand"		Mr.  Abdul  Sattar	Gen Mush	03/05/2006	0	0	Yes	Yes
One shield		Mr.  Abdul  Sattar	Gen Mush	03/05/2006	0	0	Yes	Yes
"One  book,  “FALIZE  A
dynasty  of  Jewelers”
by Katherine Purcell"		Mr.  Abdul  Sattar	Gen Mush	03/05/2006	0	0	Yes	Yes
One (silver) coin		Mr.  Abdul  Sattar	Bureaucracy	06/05/2006	500	0	Yes	Yes
"One  leather  hand  bag
containing: -
a. one  ball  point
(Mont blank)
b. one Note Book
c. one  Booklet  on
Baku
d. one  Logo  of  ECO
Summit Baku
e. one Video Cassette
f. Four books"		Mr.  Abdul  Sattar	Gen Mush	09/05/2006	105500	6413	Yes	Yes
"a. One Gown
b. One scarf
c. One cap
d. One cutlery set (24
Pcs)"		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	80400	4530	Yes	Yes
"a. Nine neck Shirts
b. Ten T-Shirts
c. Three Knickers"		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	15200	0	Yes	Yes
"Two  paintings  (duly
framed)"		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	2000	0	Yes	Yes
One ceramic plate		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	1200	0	Yes	Yes
Six books		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	0	0	Yes	Yes
"a. One shield
b. Two books"		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	0	0	Yes	Yes
One shield		Mr.  Abdul  Sattar	Gen Mush	13/05/2006	0	0	Yes	Yes
"One  White  color
porcelain Noritake Tea
set signature platinum
4277  made  in  Sri
Lanka (48 pcs)"	Crockery	Mr.  Abdul  Sattar		23/05/2006	10000	0	Yes	Yes
"a. One  locket  set
(African  Puzzle,
Five Pieces)
b. One shield"		Mr.  Abdul  Shakoor	Gen Mush	15/05/2006	1500	0	Yes	Yes
One cutlery set		Mr.  Abdul  Shakoor		18/05/2006	60000	7500	Yes	Yes
One dinner set		Mr.  Abdul  Shakoor		18/05/2006	25000	2250	Yes	Yes
5 books		Mr.  Abdul  Wahid		19/05/2006	660	0	Yes	Yes
"One  Spear  Dagger
(medium size)  (with
silver cover)"		Mr.  Abdullah  Farooq		23/05/2006	15000	750	Yes	Yes
"a. A  pair  of  Ducks
(Decoration  piece,
Sterling Silver)
b. Two books"	Decoration Pieces	Mr.  Abid  Saeed	Gen Mush	25/05/2006	5000	0	Yes	Yes
One Pewter plate		Mr.  Abid  Ullah  Jan	Gen Mush	25/05/2006	3800	0	Yes	Yes
"One  Replica  of  Sailing
Ship"		Mr.  Abid  Ullah  Jan	Gen Mush	25/05/2006	1000	0	Yes	Yes
"One  Book  “HELLAS
Through  the  Ages,  by
Annita P. Panarteou"		Mr.  Abid  Ullah  Jan	Gen Mush	25/05/2006	0	0	Yes	Yes
"One  wall  hanging
(duly framed)"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	55000	6750	Yes	Yes
"a. One  Lady’s  Suit
with Dupatta
b. One  Lady’s  Lehnga
set
c. One  Gents
Celebratory  Suit
set  (Two  waste
coats,  two  kurtas
and two shalwars)"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	51000	6150	Yes	Yes
"One  scenery  (duly
framed)"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	45000	5250	Yes	Yes
"One  Brooch  and  pair
of  ear  rings  (Made  of
gold & Pearls)"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	36215	3933	Yes	Yes
"a. One cigarette box
b. One Kehwa pot"	Cigar/Cigarettes	Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	19500	3450	Yes	Yes
"One  Marble  Head  of
Alexander the Great"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	15000	750	Yes	Yes
"One  fruit  bowl  (made
of Glass)"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	22000	0	Auctioned	"Auctioned for for
Rs.13,500/-"
"One  wall  hanging
(duly framed)"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	2500	0	Yes	Yes
Four CDs		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	1000	0	Yes	Yes
"One  book  “La  Mosque
Hassan II”"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	0	0	"Gift transferred to
National Library"	"Gift transferred to
National Library"
"Two  books  “History
and Culture”"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	0	0	Yes	Yes
"Official  Report  of  the
XXVIII  Olympiad  (The
Games)
Two  books  &  three
CDs"		Mr.  Adeel  Ahmad Khan	Gen Mush	25/05/2006	0	0	Yes	Yes
"a. Four books
b. One  book
“Engravings
Alexander”"		Mr.  Adnan  A. Khawaja	Gen Mush	25/05/2006	0	0	Yes	Yes
"a. One  Brooch  (Made
of Gold)
b. One Jewelry box
c. Greeting  Cards
with Children"		Mr.  Adnan  Khalid	Gen Mush	25/05/2006	30800	3120	Yes	Yes
"Brooch  Made  of  (Gold
& Pearls)"		Mr.  Afaq  Ahmed	Gen Mush	25/05/2006	12765	415	Yes	Yes
"a. Two  packets  of
Beauty items
b. One Necklace"		Mr.  Afrasiab	Gen Mush	25/05/2006	27345	2602	Yes	Yes
"One  Jewelry  set
containing: - (One
Necklace,  One  Pair  of
Ear  Rings,  One  Finger
Ring & one Bracelet)"		Mr.  Aftab  Ahmed Khan  Sherpao	Gen Mush	25/05/2006	207790	29669	Yes	Yes
One ceramic plate		Mr.  Aftab  Ahmed Khan  Sherpao	Gen Mush	25/05/2006	2200	0	Yes	Yes
One shield		Mr.  Aftab  Ahmed Khan  Sherpao	Gen Mush	25/05/2006	0	0	Yes	Yes
One shield		Mr.  Aftab  Ahmed Khan  Sherpao	Gen Mush	25/05/2006	0	0	Yes	Yes
"Twenty-six  books,
“THE GREEN BOOK”"		Mr.  Aftab  Ahmed Khan  Sherpao	Gen Mush	25/05/2006	0	0	Yes	Yes
one Perfume Sprinkler		Mr.  Afzal  Latif	Gen Mush	25/05/2006	19925	1489	Yes	Yes
"a.          Wrist  watch
OMEGA
b.    Silver  Tea  pot"	Watch	Mr.  Afzal  Mehmood		25/05/2006	458000	0	Auctioned	"Auctioned for: -
(a) For Rs.305,000/-
(b) For Rs.9,110/-"
One silver Dagger		Mr.  Afzal  Shah		25/05/2006	15000	0	Auctioned	"Auctioned for
Rs.22,700/-"
One calligraphy		Mr.  Afzal  Tanveer	Gen Mush	02/06/2006	25000	2250	Yes	Yes
"One wrist watch Rolex
(No.118338-83208)"	Watch	Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	1350000	201000	Yes	Yes
"Five  calligraphies
(duly framed)"		Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	125000	0	Auctioned	"Auctioned for
Rs.35,500/- (each)"
"One  painting,  “Quaid-
e-Azam”  (duly
framed)"		Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	35000	0	Auctioned	"Auctioned for
Rs.17,200/-"
One model of boat		Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	10000	0	Yes	Yes
One flower vase	Decoration Pieces	Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	5000	0	Yes	Yes
"a. One  ball  point
(Waterman, Paris)
b. One Notebook"		Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	1500	0	Yes	Yes
Five books		Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	0	0	Yes	Yes
Five books and CD		Mr.  Ahmad  Waqar	Gen Mush	02/06/2006	0	0	Yes	Yes
"a. One carpet
b. One jewelry box"	Carpet	Mr.  Ahsan  Ahmed Bhatti	Gen Mush	02/06/2006	23000	1950	Yes	Yes
"One  Wrist  Watch
Baume  &  Mercier
Geneve Automatic"	Watch	Mr.  Ahsan  Iqbal	Military	05/06/2006	60000	7500	Yes	Yes
"One  Wrist  Watch
Armand  Nicolet
Tramelan"	Watch	Mr.  Ahsan  Iqbal	Military	05/06/2006	35000	3750	Yes	Yes
"Two  Decoration  Pieces
(printed plates)"	Decoration Pieces	Mr.  Aizaz  Ahmed Chaudhry		06/06/2006	2000	0	Yes	Yes
"a. One plate
b. One Vase"	Decoration Pieces	Mr.  Ajaz  Mohiuddin		07/06/2006	4200	0	Yes	Yes
"One  decoration  piece
(silver)"	Decoration Pieces	Mr.  Ajaz  Mohiuddin		08/06/2006	5000	0	Yes	Yes
"One  Vase  (Porcelain)
(handmade  enamel
work)"	Decoration Pieces	Mr.  Akhtar		08/06/2006	5000	0	Yes	Yes
"Emblem  of  5th
Ministerial  Meeting  of
ACD"		Mr.  Akram  Shaheedi		08/06/2006	0	0	Yes	Yes
"Model  of  wooden  ship
(Al-Sonbook)  (Doha)
(in glass case)"		Mr.  Ali  Arshad Hakeeem		08/06/2006	7000	0	Yes	Yes
"Emblem  of  15th Asia
Games (Doha)
ORRY  Official  Mascot
of  15th Asia  Games
(Doha)"		Mr.  Ali  Bux  Ansari		08/06/2006	0	0	Yes	Yes
"One  Scenery  of
Azerbaijan"		Mr.  Ali  Haider  Altaf		08/06/2006	1500	0	Yes	Yes
"Emblem  of  African
Union African Day"		Mr.  Ali  Haider  Altaf		08/06/2006	0	0	Yes	Yes
"One  Wooden
decoration  piece  in
glass case"	Decoration Pieces	Mr.  Ali  Imran		08/06/2006	2500	0	Yes	Yes
"One Framed picture of
ASEAN flowers"		Mr.  Ali  Imran		08/06/2006	1600	0	Yes	Yes
One carpet 6’x4’	Carpet	Mr.  Allay  Anees		09/06/2006	18000	1200	Yes	Yes
One flower vase	Decoration Pieces	Mr.  Altaf  M.  Saleem		20/06/2006	2000	0	Yes	Yes
"a. One jewelry set,
b. One  sword  (made
of silver)"		Mr.  Altaf  M.  Saleem		24/06/2006	24000	2100	Yes	Yes
"One  Kehwa  pot  and
six cups"		Mr.  Altaf  M.  Saleem	Gen Mush	26/06/2006	12000	300	Yes	Yes
"One  wrist  watch
Franck  Muller
(No.981300)"	Watch	Mr.  Altaf  M.  Saleem	Gen Mush	26/06/2006	345000	0	Auctioned	"Auctioned for
Rs.211,000/-"
One carpet	Carpet	Mr.  Altaf  M.  Saleem	Gen Mush	26/06/2006	10000	0	Yes	Yes
"a. One  book  “Big  Sur
to  Big  Basin –
California’s
Dramatic  Central
Coast”
b. Two ball Points"		Mr.  Altaf  M.  Saleem	Gen Mush	26/06/2006	1000	0	Yes	Yes
"One  book  “British
Muslims”"		Mr.  Altaf  M.  Saleem	Gen Mush	26/06/2006	0	0	Yes	Yes
"One  Crystal  Square
Ashtray  Embossed
with  logo  of
Department  of
Defence, USA"		Mr.  Altamash  Khan		28/06/2006	2000	0	Auctioned	"Auctioned for
Rs.1,200/-"
"One  Round  Seal  of
Department  of
Defence"		Mr.  Aman  Ullah Khan Jadoon		28/06/2006	0	0	Auctioned	"Auctioned for
Rs.280/-"
One Kehwa pot		Mr.  Amjad  Mehmood	Gen Mush	01/07/2006	10000	0	Yes	Yes
"One  shirt  (Gents)
(Kenypool Classic)"		Mr.  Aqeel  Rashad 		03/07/2006	1200	0	Yes	Yes
"One  shirt  (Gents)
(Kenypool Classic)"		Mr.  Arshad  Ali		03/07/2006	1200	0	Yes	Yes
"One  shirt  (Gents)
(Kenypool Classic)"		Mr.  Arshad  Ali		03/07/2006	1200	0	Yes	Yes
"One  shirt  (Gents)
(Kenypool Classic)"		Mr.  Arshad  Mirza		03/07/2006	1200	0	Yes	Yes
"One  shirt  (Gents)
(Kenypool Classic)"		Mr.  Arshad  Mirza		03/07/2006	1200	0	Yes	Yes
"One  wrist  watch
Concord  (No.15-C2-
230 1155768)"	Watch	Mr.  Arslan  Asad		05/07/2006	60000	7500	Yes	Yes
"a. A  shield  depicting
mainstream’s
sculpture
b. Stamp  Album
comprising  Chinese
Postal  Stamps  and
photographs  of  the
philatelic exhibition"		Mr.  Arslan  Asad		05/07/2006	1500	0	Yes	Yes
"Blue  box  containing
Artificial  jewelry  set
(medium  silver  stone
necklace)"		Mr.  Asad  Durrani		08/07/2006	3000	0	Yes	Yes
"Small  box  (red)
containing  artificial
jewelry  (small  silver
stone necklace)"		Mr.  Asad  I.A.  Khan		08/07/2006	2000	0	Yes	Yes
"One  ceramic  Bowl,
and plate
One silver Bowl"		Mr.  Asad  Majeed	Gen Mush	11/07/2006	6000	0	Yes	Yes
"One  gift Pack
containing  Small  Holy
Qur’an,  Alarm  Clock
And a CD"		Mr.  Asad  Mehmood		11/07/2006	0	0	Auctioned	"Auctioned for
Rs.5,000/-"
"One wrist watch Rolex
(No.  D040307
114270)"	Watch	Mr.  Asad  Umar	Bureaucracy	11/07/2006	210000	30000	Yes	Yes
One sword		Mr.  Asad  Umar	Gen Mush	14/07/2006	6000	0	Yes	Yes
One shield		Mr.  Asad  Umar	Gen Mush	14/07/2006	0	0	Yes	Yes
Five books		"Mr.  Asad  Yar  Khan,
Reporter,  Prime
Minister Media Team"	Gen Mush	14/07/2006	0	0	Yes	Yes
"a. One  table  clock
“Chelsea”
b. One model of boat
c. One leather bag
d. Six neck ties
e. One  wrist  watch
Piaget  No.  P10300-
933105"	Watch	Mr.  Ashfaq  Ahmed Gondal	Gen Mush	15/07/2006	1041500	154725	Yes	Yes
"One  wrist  watch  Alain
Phillippe  No.10088-
72-058"	Watch	Mr.  Ashiq  Saleem	Gen Mush	15/07/2006	700000	0	Auctioned	"Auctioned for
Rs.271,000/-"
"One  carpet/Rug
(5.10x4’ approx)"	Carpet	Mr.  Ashraf  Ali	Bureaucracy	25/07/2006	5500	0	Yes	Yes
"a. One tie
b. One brocher"		Mr.  Ashraf  Qureshi		25/07/2006	500	0	Yes	Yes
Flower Vase	Decoration Pieces	Mr.  Atta  Mohammad  Raja		09/02/2007	1000	0	Auctioned	"Auctioned for
Rs.1,401/-"
"a. One  wrist  watch
Eloga
b. One  Packet  of
Coffee"	Watch	Mr.  Aurangzeb Khan		09/02/2007	30000	3000	Yes	Yes
Flower Vase	Decoration Pieces	Mr.  Aurangzeb Khan		09/02/2007	4000	0	Yes	Yes
"One  Wooden
engraved  hanging
Window"		Mr.  Awais  Ahmed Khan  Leghari		13/02/2007	8500	0	Yes	Yes
"One  Box  Containing
Eight Coins (Gold)"		Mr.  Awais  Ahmed Khan  Leghari		13/02/2007	7600	0	Yes	Yes
"One  Wrist  Watch
(Ebel) with Diamonds"	Watch	Mr.  Azhar  hussain  Gulzar		13/02/2007	100000	13500	Yes	Yes
"One  wrist  watch
(BVLGARI)"	Watch	Mr.  Azmat  Hussain Khan		14/02/2007	100000	13500	Yes	Yes
One dagger (yemeni)		Mr.  Babar  Khan  Gauri		14/02/2007	10000	0	Yes	Yes
One Decoration Box	Decoration Pieces	Mr.  Babar  Khan  Gauri	Military	15/02/2007	7000	0	Yes	Yes
One  Digital  Wrist		Mr.  Bahrullah Hazarvi		15/02/2007	1200	0	Yes	Yes
One Honey Pot		Mr.  Bahrullah Hazarvi	Gen Mush	16/02/2007	3000	0	Yes	Yes
One Book “Saood”		Mr.  Bahrullah Hazarvi	Gen Mush	16/02/2007	500	0	Yes	Yes
"One  Shield  (Membrini
Crystal)"		Mr.  Bahrullah Hazarvi	Gen Mush	16/02/2007	0	0	Yes	Yes
"One  Book  “Food  &
Fun in Davos”"		Mr.  Bilal  Akram  Shah	Gen Mush	16/02/2007	1200	0	Yes	Yes
One silver Tray		Mr.  Bilal  Shaikh	Gen Mush	16/02/2007	6000	0	Yes	Yes
"One  decorated
Wooden  Window  with
Mirror  and  steel
border"		Mr.  Danyal  Saleem Gilani		19/02/2007	15000	750	Yes	Yes
One Table Clock		Mr.  Ehsanullah	Military	20/02/2007	3500	0	Yes	Yes
One Table Clock		Mr.  Ehsanullah	Bureaucracy	20/02/2007	3500	0	Yes	Yes
"One  Small  Flower
Vase  (decorated  with
Enamel Work)"	Decoration Pieces	Mr.  Ehsanullah		24/02/2007	350	0	Auctioned	Auctioned for
One Carpet	Carpet	Mr.  Ehsanullah	Gen Mush	27/02/2007	40000	4500	Yes	Yes
One Bowl		Mr.  Faisal  Niaz  Tirmizi	Gen Mush	27/02/2007	10000	0	Yes	Yes
"a. One  Japanese
Folding Fan
b. One Tie
c. One  flash  Drive
+Cd"		Mr.  Faisal  Niaz  Tirmizi	Gen Mush	27/02/2007	5300	0	Yes	Yes
One Flower Vase	Decoration Pieces	Mr.  Faisal  Niaz  Tirmizi	Gen Mush	27/02/2007	1000	0	Yes	Yes
"a. One Table Clock
b. One  Box
(consisting  pair  of
Ball  points,  Key
chain,  Chit  Box
and  One  Paper
Clip)"		Mr.  Faisal Nisar Liaison	Gen Mush	27/02/2007	4000	0	Yes	Yes
"One  Gold
Commemorative Coin"		Mr.  Faqir  Ahmad	Gen Mush	27/02/2007	52800	6420	Yes	Yes
One Photo Frame		Mr.  Farhan  Tanveer	Gen Mush	27/02/2007	1000	0	Yes	Yes
One Tray with Stand		Mr.  Farhat  Iqbal	Gen Mush	27/02/2007	3000	0	Yes	Yes
"Two  Anniversary
Table Cloths"		Mr.  Farooq  H.  Naek	Gen Mush	07/03/2007	10000	0	Yes	Yes
"One  Wrist  Watch
ROMEO  (Swiss  made)
(3ATM  Water
Resistant  01457-
8326-001)"	Watch	Mr.  Farooq  H.  Naek		09/03/2007	30000	3000	Yes	Yes
"One  Wrist  Watch
ROMEO  (Swiss  made)
(3ATM  Water"	Watch	Mr.  Farooq  H.  Naek		09/03/2007	30000	3000	Yes	Yes
"a. One Flower Vase
b. One  Book  ‘the
Reluctant
Politician”"	Decoration Pieces	Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	13000	450	Yes	Yes
"a. One Sitar
b. One Khais
c. Two Sindhi Caps
d. Three Ajraks
e. Eight Books
Three Magazines"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	8050	0	Yes	Yes
One Bowl with lid		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	4000	0	Yes	Yes
"One  Decoration  Piece
(Wall  Hanging  duly
framed)"	Decoration Pieces	Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	3000	0	Yes	Yes
"One Embroidered Wall
Hanging"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	3000	0	Yes	Yes
One Bottle of Perfume		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	1200	0	Yes	Yes
"One  Book  “Ganj  Shah
Jo Risalo”"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	0	0	Yes	Yes
"One  Book  “Thailand
Reflected in a River”"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	0	0	Yes	Yes
"One  Letter  of
Appreciation  (duly
framed)"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	0	0	Yes	Yes
"One Book “Australia A
Complete Guide”"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	0	0	Yes	Yes
"Five  Mint  Coins  of
Khans  of  the  Mongol
Empire 1206-1368"		Mr.  Farooq  H.  Naek	Gen Mush	10/03/2007	0	0	Yes	Yes
"One  wrist  watch  (Van
Der Bauwede)"	Watch	Mr.  Farooq  H.  Naek	Bureaucracy	13/03/2007	30000	3000	Yes	Yes
"a. One  wrist  watch
(Van Der Bauwede)
b. One  packet  of
coffee"	Watch	Mr.  Farukh  Akhtar  Jamil	Bureaucracy	15/03/2007	30000	3000	Yes	Yes
One Packet of Coffee		Mr.  Farukh  Amil	Military	17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fasih  Ullah  Khan	Military	17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad	Military	17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fawad  Hasan Fawad		17/03/2007	0	0	Yes	Yes
One Packet of Coffee		Mr.  Fayyaz  Muhammad		17/03/2007	0	0	Yes	Yes
"a. A  Glimpse  of
Interior  Lahore
(Wooden  Wall
Hanging)
b. Bed  Sheet  with
Two  Pillow  &  Two
Cushion"		Mr.  Fazal  Abbas  Maken	Gen Mush	20/03/2007	15000	750	Yes	Yes
Two cups		Mr.  Ghalib  Iqbal	Gen Mush	12/03/2006	0	0	Yes	Yes
"a. One  Cutlery  Set
(24 Pieces)
b. One Carpet"	Carpet	Mr.  Ghalib  Iqbal	Gen Mush	20/03/2007	55000	6750	Yes	Yes
